nombre,Age,Genero,Group,Subject
nicorodri,32,0,1,"analitica3,gestionDatos,manejoInformacion"
lhgdiaz,25,0,1,"analitica3,proyectoGrado,innovacion"
ingandresmolano,26,0,1,"analitica3,arquitecturaEmpresarial"
karendaniela205,26,1,2,"analitica3,arquitecturaEmpresarial"
giovanni.jim1503,38,0,2,"analitica3,arquitecturaEmpresarial"
moagomezma,34,1,2,"analitica3,proyectoGrado,innovacion"
miguelapaez10,27,0,2,"analitica3,proyectoGrado,innovacion"
lo.rsquared,25,1,3,"analitica3,proyectoGrado,innovacion"
camilo_vasquez17,28,0,3,"analitica3,proyectoGrado,innovacion"
dianaherran06,37,1,3,"analitica3,proyectoGrado,innovacion"
clopez,39,0,4,"analitica3,gestionDatos,manejoInformacion"
lorenabl1,33,1,4,"analitica3,gestionDatos,manejoInformacion"
el_magdaniel,34,0,4,"analitica3,proyectoGrado,innovacion"
Adrig63,42,1,4,"analitica3,proyectoGrado,innovacion"
alejandro.vivasv,45,0,5,"analitica3,proyectoGrado,innovacion"
quiroj9,25,0,5,"analitica3,gestionDatos,manejoInformacion"
sebastian.m,29,0,5,"analitica3,gestionDatos,manejoInformacion"
