User_A,User_B,Type_A,Type_B,W,Group,Age,Subject
gabrielmoreno10,MAndreaNieto,0,1,3,,38,"analitica3,gestionDatos,manejoInformacion"
gabrielmoreno10,lmpantoja,0,1,5,,38,"analitica3,proyectoGrado,innovacion"
gabrielmoreno10,miguelapaez10,0,0,2,,38,"analitica3,arquitecturaEmpresarial"
gabrielmoreno10,EnriquePenalosa,0,0,3,,38,"analitica3,arquitecturaEmpresarial"
ingandresmolano,sebastian.m,0,0,5,1,26,"analitica3,arquitecturaEmpresarial"
ingandresmolano,quiroj9,0,0,5,1,26,"analitica3,gestionDatos,manejoInformacion"
ingandresmolano,lhgdiaz,0,0,5,1,26,"analitica3,gestionDatos,manejoInformacion"
ingandresmolano,alejandro.vivasv,0,0,3,1,26,"analitica3,gestionDatos,manejoInformacion"
ingandresmolano,nicorodri,0,0,2,1,26,"analitica3,gestionDatos,manejoInformacion"
Adrig63,lhgdiaz,1,0,3,4,42,"analitica3,gestionDatos,manejoInformacion"
Adrig63,alejandro.vivasv,1,0,2,4,42,"analitica3,proyectoGrado,innovacion"
miguelapaez10,mdefrancisco12,0,0,5,2,27,"analitica3,proyectoGrado,innovacion"
lo.rsquared,taylorswift13,1,1,3,3,25,"analitica3,proyectoGrado,innovacion"
giovanni.jim1503,karendaniela205,0,1,5,2,38,"analitica3,proyectoGrado,innovacion"
lhgdiaz,alfcnz,0,0,1,1,25,"analitica3,proyectoGrado,innovacion"
lhgdiaz,ingandresmolano,0,0,5,1,25,"analitica3,proyectoGrado,innovacion"
lhgdiaz,nicorodri,0,0,3,1,25,"analitica3,proyectoGrado,innovacion"
dianaherran06,INVIAS,1,2,3,3,37,"analitica3,proyectoGrado,innovacion"
camilo_vasquez17,lo.rsquared,0,1,2,3,28,"analitica3,proyectoGrado,innovacion"
karendaniela205,miguelapaez10,1,0,3,2,26,"analitica3,proyectoGrado,innovacion"
lo.rsquared,dianaherran06,1,1,1,3,25,"analitica3,arquitecturaEmpresarial"
miguelapaez10,giovanni.jim1503,0,0,2,2,27,"analitica3,arquitecturaEmpresarial"
moagomezma,miguelapaez10,1,0,2,2,34,"analitica3,arquitecturaEmpresarial"
miguelapaez10,lo.rsquared,0,1,3,2,27,"analitica3,arquitecturaEmpresarial"
moagomezma,giovanni.jim1503,1,0,2,2,34,"analitica3,gestionDatos,manejoInformacion"
karendaniela205,moagomezma,1,1,4,2,26,"analitica3,gestionDatos,manejoInformacion"
moagomezma,karendaniela205,1,1,3,2,34,"analitica3,gestionDatos,manejoInformacion"
moagomezma,ronaldfvargass,1,0,4,2,34,"analitica3,gestionDatos,manejoInformacion"
giovanni.jim1503,moagomezma,0,1,4,2,38,"analitica3,gestionDatos,manejoInformacion"
karendaniela205,nicorodri,1,0,2,2,26,"analitica3,gestionDatos,manejoInformacion"
nicorodri,alejandro.vivasv,0,0,5,1,32,"analitica3,proyectoGrado,innovacion"
nicorodri,lhgdiaz,0,0,3,1,32,"analitica3,proyectoGrado,innovacion"
nicorodri,ingandresmolano,0,0,3,1,32,"analitica3,proyectoGrado,innovacion"
lo.rsquared,camilo_vasquez17,1,0,3,3,25,"analitica3,proyectoGrado,innovacion"
lo.rsquared,IbaiLlanos,1,0,1,3,25,"analitica3,proyectoGrado,innovacion"
karendaniela205,Cristiano,1,0,1,2,26,"analitica3,proyectoGrado,innovacion"
alejandro.vivasv,nicorodri,0,0,4,5,45,"analitica3,proyectoGrado,innovacion"
alejandro.vivasv,ingandresmolano,0,0,3,5,45,"analitica3,proyectoGrado,innovacion"
alejandro.vivasv,lhgdiaz,0,0,3,5,45,"analitica3,proyectoGrado,innovacion"
alejandro.vivasv,sebastian.m,0,0,5,5,45,"analitica3,proyectoGrado,innovacion"
alejandro.vivasv,quiroj9,0,0,4,5,45,"analitica3,proyectoGrado,innovacion"
karendaniela205,shakira,1,1,2,2,26,"analitica3,proyectoGrado,innovacion"
miguelapaez10,lhgdiaz,0,0,4,2,27,"analitica3,proyectoGrado,innovacion"
miguelapaez10,giovanni.jim1503,0,0,3,2,27,"analitica3,proyectoGrado,innovacion"
miguelapaez10,nicorodri,0,0,2,2,27,"analitica3,proyectoGrado,innovacion"
giovanni.jim1503,gabrielmoreno10,0,0,1,2,38,"analitica3,proyectoGrado,innovacion"
giovanni.jim1503,miguelapaez10,0,0,2,2,38,"analitica3,gestionDatos,manejoInformacion"
lorenabl1,el_magdaniel,1,0,5,4,33,"analitica3,gestionDatos,manejoInformacion"
lorenabl1,lhgdiaz,1,0,5,4,33,"analitica3,gestionDatos,manejoInformacion"
dianaherran06,lo.rsquared,1,1,1,3,37,"analitica3,gestionDatos,manejoInformacion"
dianaherran06,camilo_vasquez17,1,0,1,3,37,"analitica3,gestionDatos,manejoInformacion"
camilo_vasquez17,imessi,0,0,1,3,28,"analitica3,gestionDatos,manejoInformacion"
camilo_vasquez17,moagomezma,0,1,2,3,28,"analitica3,gestionDatos,manejoInformacion"
el_magdaniel,lorenabl1,1,0,5,4,34,"analitica3,gestionDatos,manejoInformacion"
karendaniela205,giovanni.jim1503,1,0,4,2,26,"analitica3,proyectoGrado,innovacion"
clopez,imessi,0,0,1,4,39,"analitica3,proyectoGrado,innovacion"
sebastian.m,quiroj9,0,0,5,5,29,"analitica3,proyectoGrado,innovacion"
quiroj9,alejandro.vivasv,0,0,3,5,25,"analitica3,proyectoGrado,innovacion"
sebastian.m,alejandro.vivasv,0,0,5,5,29,"analitica3,proyectoGrado,innovacion"
sebastian.m,lhgdiaz,0,0,4,5,29,"analitica3,proyectoGrado,innovacion"
sebastian.m,ingandresmolano,0,0,5,5,29,"analitica3,proyectoGrado,innovacion"
el_magdaniel,lo.rsquared,1,1,3,4,34,"analitica3,arquitecturaEmpresarial"
el_magdaniel,giovanni.jim1503,1,1,4,4,34,"analitica3,arquitecturaEmpresarial"
quiroj9,nicorodri,0,0,3,5,25,"analitica3,arquitecturaEmpresarial"
el_magdaniel,miguelapaez10,1,1,5,4,34,"analitica3,arquitecturaEmpresarial"
lorenabl1,gabrielmoreno10,2,1,5,4,33,"analitica3,arquitecturaEmpresarial"
lorenabl1,imessi,2,1,5,4,33,"analitica3,arquitecturaEmpresarial"
camilo_vasquez17,OpenIA,0,2,3,3,28,"analitica3,arquitecturaEmpresarial"
camilo_vasquez17,gabrielmoreno10,0,0,2,3,28,"analitica3,arquitecturaEmpresarial"
quiroj9,ingandresmolano,0,0,3,5,25,"analitica3,arquitecturaEmpresarial"
quiroj9,lhgdiaz,0,0,3,5,25,"analitica3,arquitecturaEmpresarial"
sebastian.m,nicorodri,0,0,4,5,29,"analitica3,arquitecturaEmpresarial"
quiroj9,EnriquePenalosa,0,2,3,5,25,"analitica3,arquitecturaEmpresarial"
