User_A,User_B,Type_A,Type_B,Weight
gabrielmoreno10,MAndreaNieto,0,1,3
gabrielmoreno10,lmpantoja,0,1,5
gabrielmoreno10,miguelapaez10,0,0,2
gabrielmoreno10,EnriquePenalosa,0,0,3
ingandresmolano,sebastian.m,0,0,5
ingandresmolano,quiroj9,0,0,5
ingandresmolano,lhgdiaz,0,0,5
ingandresmolano,alejandro.vivasv,0,0,3
ingandresmolano,nicorodri,0,0,2
Adrig63,lhgdiaz,1,0,3
Adrig63,alejandro.vivasv,1,0,2
miguelapaez10,mdefrancisco12,0,0,5
lo.rsquared,taylorswift13,1,1,3
giovanni.jim1503,karendaniela205,0,1,5
lhgdiaz,alfcnz,0,0,1
lhgdiaz,ingandresmolano,0,0,5
lhgdiaz,nicorodri,0,0,3
dianaherran06,INVIAS,1,2,3
camilo_vasquez17,lo.rsquared,0,1,2
karendaniela205,miguelapaez10,1,0,3
lo.rsquared,dianaherran06,1,1,1
miguelapaez10,giovanni.jim1503,0,0,2
moagomezma,miguelapaez10,1,0,2
miguelapaez10,lo.rsquared,0,1,3
moagomezma,giovanni.jim1503,1,0,2
karendaniela205,moagomezma,1,1,4
moagomezma,karendaniela205,1,1,3
moagomezma,ronaldfvargass,1,0,4
giovanni.jim1503,moagomezma,0,1,4
karendaniela205,nicorodri,1,0,2
nicorodri,alejandro.vivasv,0,0,5
nicorodri,lhgdiaz,0,0,3
nicorodri,ingandresmolano,0,0,3
lo.rsquared,camilo_vasquez17,1,0,3
lo.rsquared,IbaiLlanos,1,0,1
karendaniela205,Cristiano,1,0,1
alejandro.vivasv,nicorodri,0,0,4
alejandro.vivasv,ingandresmolano,0,0,3
alejandro.vivasv,lhgdiaz,0,0,3
alejandro.vivasv,sebastian.m,0,0,5
alejandro.vivasv,quiroj9,0,0,4
karendaniela205,shakira,1,1,2
miguelapaez10,lhgdiaz,0,0,4
miguelapaez10,giovanni.jim1503,0,0,3
miguelapaez10,nicorodri,0,0,2
giovanni.jim1503,gabrielmoreno10,0,0,1
giovanni.jim1503,miguelapaez10,0,0,2
lorenabl1,el_magdaniel,1,0,5
lorenabl1,lhgdiaz,1,0,5
dianaherran06,lo.rsquared,1,1,1
dianaherran06,camilo_vasquez17,1,0,1
camilo_vasquez17,imessi,0,0,1
camilo_vasquez17,moagomezma,0,1,2
el_magdaniel,lorenabl1,1,0,5
karendaniela205,giovanni.jim1503,1,0,4
clopez,imessi,0,0,1
sebastian.m,quiroj9,0,0,5
quiroj9,alejandro.vivasv,0,0,3
sebastian.m,alejandro.vivasv,0,0,5
sebastian.m,lhgdiaz,0,0,4
sebastian.m,ingandresmolano,0,0,5
el_magdaniel,lo.rsquared,1,1,3
el_magdaniel,giovanni.jim1503,1,1,4
quiroj9,nicorodri,0,0,3
el_magdaniel,miguelapaez10,1,1,5
lorenabl1,gabrielmoreno10,2,1,5
lorenabl1,imessi,2,1,5
camilo_vasquez17,OpenIA,0,2,3
camilo_vasquez17,gabrielmoreno10,0,0,2
quiroj9,ingandresmolano,0,0,3
quiroj9,lhgdiaz,0,0,3
sebastian.m,nicorodri,0,0,4
quiroj9,EnriquePenalosa,0,0,3
